ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
5,"$30,000-$34,999",2016,"2016",5777895,36728,"United States","01000US","united-states",0.048610902240378215
8,"$45,000-$49,999",2016,"2016",28580,2727,"King County, WA","05000US53033","king-county-wa",0.03318802444162136
4,"$25,000-$29,999",2016,"2016",5501898,37937,"United States","01000US","united-states",0.04628886918411158
9,"$50,000-$59,999",2016,"2016",52551,3649,"King County, WA","05000US53033","king-county-wa",0.06102392835660056
2,"$15,000-$19,999",2015,"2015",5903590,34350,"United States","01000US","united-states",0.04994228406223762
3,"$20,000-$24,999",2015,"2015",22937,2651,"King County, WA","05000US53033","king-county-wa",0.027112613624274518
0,"< $10,000",2015,"2015",8104547,41338,"United States","01000US","united-states",0.06856160208784073
8,"$45,000-$49,999",2015,"2015",4835553,32852,"United States","01000US","united-states",0.040907068669064975
14,"$150,000-$199,999",2015,"2015",81785,3653.0000000000005,"King County, WA","05000US53033","king-county-wa",0.09667371954751239
12,"$100,000-$124,999",2015,"2015",93494,4398,"King County, WA","05000US53033","king-county-wa",0.11051430867977163
4,"$25,000-$29,999",2015,"2015",28175,3001,"King County, WA","05000US53033","king-county-wa",0.03330417617229518
0,"< $10,000",2015,"2015",42332,3232,"King County, WA","05000US53033","king-county-wa",0.050038416529746214
12,"$100,000-$124,999",2015,"2015",10007976,54513.00000000001,"United States","01000US","united-states",0.0846639384306933
7,"$40,000-$44,999",2015,"2015",5408341,37487,"United States","01000US","united-states",0.04575265262788342
10,"$60,000-$74,999",2015,"2015",11892128,54256.99999999999,"United States","01000US","united-states",0.10060319816933251
5,"$30,000-$34,999",2015,"2015",30120,3097,"King County, WA","05000US53033","king-county-wa",0.03560325772172248
1,"$10,000-$14,999",2015,"2015",5861099,32312,"United States","01000US","united-states",0.049582825225819686
11,"$75,000-$99,999",2015,"2015",14471341,60073.00000000001,"United States","01000US","united-states",0.12242242821461277
1,"$10,000-$14,999",2015,"2015",22434,2516,"King County, WA","05000US53033","king-county-wa",0.02651804394851003
11,"$75,000-$99,999",2015,"2015",109210,4916,"King County, WA","05000US53033","king-county-wa",0.12909136041797184
3,"$20,000-$24,999",2015,"2015",6185673,36358,"United States","01000US","united-states",0.052328606505891086
